,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
0,0,data/3d_09-05-2019,2,32,41607045896128,1651150.1795793285,41252273138080,1090148.258254257,0.8526747102730876,33.97643220242998
1,1,data/3d_09-05-2019,2,64,82885267406208,3123650.696856449,82178379901504,2113869.2159527745,0.8528506052102753,32.326965429261634
2,2,data/3d_09-05-2019,2,128,160309910365824,5775616.124114764,158945913502848,4128522.316202392,0.8508499941540648,28.518062359361256
3,3,data/3d_09-05-2019,2,256,335894453313792,13534435.959298547,333604815879936,8593113.696929328,0.6816538383612499,36.509258880303676
4,4,data/3d_09-05-2019,2,512,676682332882432,24518007.26853761,668876769319936,17031652.13911645,1.1535048549659936,30.53410926681599
5,5,data/3d_09-05-2019,3,32,64444786416576,2594217.6090228176,63621765305280,1611162.4650098553,1.277094947566323,37.894089554933544
6,6,data/3d_09-05-2019,3,64,119104446368512,4625854.1019152785,118057182486336,3087207.865981695,0.8792819362391733,33.261884227963996
7,7,data/3d_09-05-2019,3,128,262154921931904,10044820.27495158,259020338904960,6520156.045563637,1.1956987127475038,35.08937076930362
8,8,data/3d_09-05-2019,3,256,487416243266816,18301491.440876286,480890394844416,12307060.871081585,1.3388656025621395,32.75378178417837
9,9,data/3d_09-05-2019,3,512,993838617897472,38553882.10439886,981277566809088,24955603.966926515,1.2638924330549453,35.27084017285209
10,10,data/3d_09-05-2019,4,32,82256799349856,3202656.31806387,80745036410880,2117629.499532721,1.8378577223095498,33.87896517060843
11,11,data/3d_09-05-2019,4,64,157699038969024,5820715.186145186,155460236939392,4023375.5409021364,1.419667516218508,30.878330029292368
12,12,data/3d_09-05-2019,4,128,317944497548416,12339478.201647095,313282363187200,8053247.475289713,1.4663359162257743,34.73591554126858
13,13,data/3d_09-05-2019,4,256,605542363226112,23125058.75238059,595256976062720,15316334.985850165,1.698541305780021,33.76736833469261
14,14,data/3d_09-05-2019,4,512,1304870472321024,49275611.59581666,1285829049548800,32686017.74944145,1.4592576946242242,33.66694660728191
15,15,data/3d_09-05-2019,5,32,98684048393952,3945273.5190756624,97217786474720,2554197.0221295008,1.485814519261111,35.25931700857275
16,16,data/3d_09-05-2019,5,64,197598979367104,7455773.962479719,194048269777984,5010859.98424905,1.7969270896503007,32.79222238407982
17,17,data/3d_09-05-2019,5,128,396063829035776,15386675.938985365,389408395832832,9950965.697827663,1.6803940968673567,35.32738495769051
18,18,data/3d_09-05-2019,5,256,783318482249216,29957300.46708294,770763290049024,19510376.35537642,1.602820881251403,34.87271532755628
19,19,data/3d_09-05-2019,5,512,1605309875375104,59421397.35224104,1576738195396608,40067859.64660472,1.7798233485494388,32.56998079481619
20,20,data/3d_09-05-2019,6,32,116611300370944,4567873.369645119,114197344424992,3025463.1868357863,2.070087494327852,33.76648295592229
21,21,data/3d_09-05-2019,6,64,231662544176768,8839441.545655632,227172857481024,5832394.3215498375,1.93802874422297,34.01852038473725
22,22,data/3d_09-05-2019,6,128,456853824267008,17630077.345903225,448530117458176,11478990.327111155,1.8219628175788705,34.889733596213766
23,23,data/3d_09-05-2019,6,256,935878554975232,35383736.134079315,918389468231680,23280731.04399432,1.8687346398288662,34.20499475867436
24,24,data/3d_09-05-2019,6,512,1822351868410368,68212381.47631958,1789080260460032,45107219.25459129,1.8257510268507433,33.872387566103974
25,25,data/3d_09-05-2019,7,32,131765920838624,5126932.892538927,129136183883744,3377266.5134954182,1.9957641081571345,34.12696081100936
