,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
0,data/3d_09-05-2019,5,64,197320185774080,7664428.801335004,193411440251584,18619148.401073214,1.9809151847096291,-142.92936738912752
1,data/3d_09-05-2019,5,128,390200108751872,14585447.443316875,382979346911360,37678298.998656735,1.8505278903199072,-158.32802966851125
2,data/3d_09-05-2019,5,256,773209922016000,29117650.55687205,758142668877056,73998636.39703178,1.948662673606019,-154.13670052980075
3,data/3d_09-05-2019,5,512,1596621646467072,58665868.94831284,1567582057613312,148466127.8971151,1.8188146777301568,-153.0707045827961
4,data/3d_09-05-2019,6,64,235229263974208,9094327.310816463,230340246043200,22130830.569067013,2.0784054876539777,-143.3476365288217
5,data/3d_09-05-2019,6,128,464037569457664,18214003.653980345,456136452972160,42826669.417097986,1.7026889643306888,-135.13045363718803
6,data/3d_09-05-2019,6,256,922923081760256,35251314.29245557,905183665189120,87507317.1490568,1.9220904668785928,-148.23845268028768
7,data/3d_09-05-2019,6,512,1866591424108032,72353161.08710152,1828308569317888,176152375.75752282,2.0509498916420776,-143.46189317901923
8,data/3d_09-05-2019,7,64,274807745533632,10428605.373295203,268751612957184,25521465.087539893,2.2037706996533064,-144.72558097646845
9,data/3d_09-05-2019,7,128,538029949522816,20390725.69204463,526191363021312,49611514.914541945,2.2003582722492974,-143.30431228299884
10,data/3d_09-05-2019,7,256,1068144087861760,40291043.853136435,1046458027508992,96960451.55818488,2.030256086159663,-140.65013532936067
11,data/3d_09-05-2019,7,512,2106380352628224,79293711.9418464,2069627713570816,191665336.40645805,1.744824433609538,-141.71568175169352
12,data/3d_09-05-2019,8,64,295327218337088,11261689.338990357,288747715673280,26397287.576451056,2.2278687013189966,-134.39900339870013
13,data/3d_09-05-2019,8,128,602208369660288,23083748.017045006,587835544154112,53534570.22836667,2.3866864411538917,-131.91454952998458
14,data/3d_09-05-2019,8,256,1252783379560704,48590615.098950274,1223457180309248,110657222.46372445,2.3408834863166375,-127.73373466950623
15,data/3d_09-05-2019,8,512,2384322573090816,90866763.57793461,2318352061429248,217191733.8952902,2.7668450739888737,-139.02219617298155
16,data/3d_09-05-2019,9,64,340480645166400,13125010.282451708,331893499924160,30089350.59879461,2.5220656046522945,-129.25201543669968
17,data/3d_09-05-2019,9,128,670712460301696,26238748.69585347,653090989755520,57798453.80146181,2.627276454391441,-120.27900214081374
18,data/3d_09-05-2019,9,256,1343853094748160,52122909.223511524,1306769832792832,118196590.57883103,2.7594728992514956,-126.76514480798606
19,data/3d_09-05-2019,9,512,2658618923550208,99942815.05578136,2590466838970880,233826719.78965536,2.5634393848487536,-133.9605099767792
20,data/3d_09-05-2019,10,64,370171516131712,14399834.190217348,361798109895296,32288979.64324091,2.2620341845634147,-124.23160723042704
21,data/3d_09-05-2019,10,128,745685266250752,28277656.5186317,727982313214720,64403458.151200585,2.3740516055843615,-127.7538738359247
22,data/3d_09-05-2019,10,256,1472393941090560,56048636.61946082,1429705547317504,126088695.18125789,2.8992508446101,-124.96300139703709
23,data/3d_09-05-2019,10,512,2975572759510016,113606690.79967341,2893059550390272,257712454.96074057,2.7730193743718554,-126.84619466222621
24,data/1w_03-05-2019,5,64,394697475154752,17003758.815323498,384230254624640,33714069.165378004,2.651960346594069,-98.2742141402021
25,data/1w_03-05-2019,5,128,813669024939776,35015542.07345532,789194642304768,68142915.55221571,3.0079039369625113,-94.60762711959751
26,data/1w_03-05-2019,5,256,1615343399570944,67651519.12961693,1575574755357184,135368801.27083275,2.461931266399644,-100.09720847727438
27,data/1w_03-05-2019,5,512,3284769614211072,139186454.49590018,3204044318065664,272597451.2002621,2.4575634101144233,-95.850560449682
28,data/1w_03-05-2019,6,64,466166865173376,19972034.853433155,451428982257984,38095011.47007899,3.161503748214861,-90.74176341891638
29,data/1w_03-05-2019,6,128,935524129538176,39850990.70743133,906454218275328,75292550.51855938,3.1073395484944295,-88.93520382297291
30,data/1w_03-05-2019,6,256,1862996874246912,79249215.83115551,1808499265301504,149749186.7441244,2.9252657209872037,-88.95983407983832
31,data/1w_03-05-2019,6,512,3708839589132288,161104617.85011563,3607289733031936,299195918.9291912,2.738049291695314,-85.71529663262004
32,data/1w_03-05-2019,7,64,539639898135360,23420298.694115654,522015347044736,42354226.67061786,3.265983696076372,-80.84409265565581
33,data/1w_03-05-2019,7,128,1090753255838336,46668898.17131788,1053185201029632,84570305.2820153,3.444230361689801,-81.2134174918043
34,data/1w_03-05-2019,7,256,2131033662966272,91949095.66628575,2065601292802048,167636367.52578032,3.0704522083028025,-82.3143189294533
35,data/1w_03-05-2019,7,512,4263755078103040,184263787.31230435,4123345734701568,331934758.9576464,3.2930912031640576,-80.14107047254925
36,data/1w_03-05-2019,8,64,596599729303168,25723436.5992651,575599200072448,45997999.00291538,3.5200366676747814,-78.81747186233085
37,data/1w_03-05-2019,8,128,1220568270464128,52213660.09023767,1183493026715648,92928362.44401556,3.0375395334815583,-77.97710844904029
38,data/1w_03-05-2019,8,256,2370490932828672,100028650.36863017,2289820803428864,181401853.90231946,3.4030979947071773,-81.34989648846508
39,data/1w_03-05-2019,8,512,4889663384934912,209207540.30566174,4712499713920000,364524455.7880993,3.623228371113532,-74.24059154632404
40,data/1w_03-05-2019,9,64,675030235782720,29040007.311079703,651350661206656,50179539.51486263,3.5079279891228494,-72.79451405550269
41,data/1w_03-05-2019,9,128,1339132625631872,57608613.796920955,1295633102375936,98587124.05941397,3.2483357080043267,-71.13260945133733
42,data/1w_03-05-2019,9,256,2696787002839040,115166890.69818704,2605974903293440,197846446.04164526,3.3674183185397157,-71.79108061546353
43,data/1w_03-05-2019,9,512,5335781588182016,230551078.75781822,5151881081001472,388150948.81311446,3.4465523774034716,-68.35789747956314
44,data/1w_03-05-2019,10,64,734110922261760,31799152.569518775,709474697318208,53825627.044539936,3.3559267675311233,-69.26748889570958
45,data/1w_03-05-2019,10,128,1470111671408512,62642182.4943315,1421502562742400,106336745.62801947,3.3064909021189988,-69.75261939132132
46,data/1w_03-05-2019,10,256,2900291083321344,124703819.7137848,2794615348612096,207274819.0522831,3.6436251284209265,-66.21368898563969
47,data/1w_03-05-2019,10,512,5770085540654080,241795133.01318052,5566600019724800,416964767.78550404,3.526559866324156,-72.44547588258314
48,data/1w_10-05-2019,5,64,299676159937664,7877866.197676558,292570416350656,27066808.815687627,2.371140763578282,-243.5804586738287
49,data/1w_10-05-2019,5,128,597250531023488,15325914.139570992,583747726872960,53189453.101343594,2.2608274834663944,-247.05566413170897
50,data/1w_10-05-2019,5,256,1191711724078848,30196643.63067541,1170137802351872,108138172.39365375,1.8103305766880742,-258.1132185293635
51,data/1w_10-05-2019,5,512,2319112199234560,59470101.97354811,2262638190369792,211461278.6940141,2.4351563880095,-255.57577955401962
52,data/1w_10-05-2019,6,64,349332496653376,9106468.323581107,341503132706560,30933942.228019312,2.2412355053771766,-239.69197639348488
53,data/1w_10-05-2019,6,128,694997790986496,18415298.83686636,679160975326080,61422056.975844346,2.278685754948495,-233.53820385950485
54,data/1w_10-05-2019,6,256,1329730870511104,32993573.067350183,1293676853952000,117918880.41590011,2.7113769679759367,-257.3995461940144
55,data/1w_10-05-2019,6,512,2781498575140352,70731212.59345907,2716009096123904,245134369.06784526,2.354467465910654,-246.5717044564202
56,data/1w_10-05-2019,7,64,390852129834048,10090788.516646026,380511368018112,33948336.26564317,2.64569667826208,-236.4289739066587
57,data/1w_10-05-2019,7,128,807402712172672,21620582.454796724,785601558475392,68504158.03929725,2.7001585910721566,-216.84695906098952
58,data/1w_10-05-2019,7,256,1543928755132160,40028193.93629782,1497042215717376,133932413.27411908,3.0368330960174728,-234.5951942954596
59,data/1w_10-05-2019,7,512,3161013891859968,79533697.1993706,3076631093187072,270522518.8487764,2.6694852208714726,-240.13572658472773
60,data/1w_10-05-2019,8,64,445146739871616,11987790.38105739,433644511253504,37789156.76987833,2.5839184223677205,-215.23037664715253
61,data/1w_10-05-2019,8,128,866701915878912,22939434.336647734,842021484195328,73753868.7787391,2.847626298201484,-221.51563851298155
62,data/1w_10-05-2019,8,256,1759757943934464,47386459.00990063,1707816371598592,145501247.76846743,2.951631644278367,-207.05237489483505
63,data/1w_10-05-2019,8,512,3532157746810880,90658139.13519776,3442616821527040,292135275.6288283,2.5350205653947606,-222.23833228384413
64,data/1w_10-05-2019,9,64,487936186605504,13425114.632474678,472143490488576,39952994.427050024,3.2366314592888314,-197.5989071289249
65,data/1w_10-05-2019,9,128,972809497352576,25784513.802016318,945440128149760,79331910.95105182,2.813435649764889,-207.6727044775541
66,data/1w_10-05-2019,9,256,1902910681613824,49586212.229902,1840586010418688,152806154.7875863,3.275228406531387,-208.16258777563883
67,data/1w_10-05-2019,9,512,3844530109786624,102476454.54427682,3713361640662528,309105671.6001929,3.4118205704825657,-201.6357981692645
68,data/1w_10-05-2019,10,64,524294521084352,14442788.649920806,507602148114432,42486599.408323035,3.183777876487559,-194.17171737506524
69,data/1w_10-05-2019,10,128,1064944062454528,28360256.731502764,1032280717653888,84168734.18586291,3.067141829530102,-196.78410524530872
