,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
0,data/3d_09-05-2019,5,64,195887382225792,7684988.695779933,192837239395904,5016776.401866335,1.557089994889112,34.71979464821849
1,data/3d_09-05-2019,5,128,395804496906880,14872904.622636225,387307238029184,9868046.475527193,2.1468323235587516,33.650845440720104
2,data/3d_09-05-2019,5,256,777194448354816,29001366.835690714,765850426215936,19678404.892756496,1.4596118336785988,32.146629487341464
3,data/3d_09-05-2019,5,512,1497029615912448,56808976.66210328,1470259404830208,37148117.61119725,1.7882218760196942,34.608718913997976
4,data/3d_09-05-2019,6,64,227769202638656,8727682.129339559,222849039705408,5697302.687493245,2.160152854841215,34.72146896435639
5,data/3d_09-05-2019,6,128,449535062234496,17220113.859147754,441943588897664,11224023.20852151,1.6887388714680447,34.82027296492568
6,data/3d_09-05-2019,6,256,938498031631360,35069163.71156412,917667788916992,23371041.125259064,2.219529717942986,33.35728984734125
7,data/3d_09-05-2019,6,512,1842745726575616,69001294.73695822,1813037454691840,45904288.89898778,1.6121742384383675,33.47329340126035
8,data/3d_09-05-2019,7,64,270041687050688,10313937.660979787,263615768999296,6794825.913300635,2.3796022464434636,34.1199633287763
9,data/3d_09-05-2019,7,128,535795900027776,20372739.19718503,523760588910976,13380406.515793566,2.2462491997747804,34.32200556691767
10,data/3d_09-05-2019,7,256,1065433562193152,41284896.934155285,1043432199965952,26404162.614717495,2.0650149392620114,36.04401469905779
11,data/3d_09-05-2019,7,512,2114057716622336,80495609.78413096,2069879877549568,52217145.65832326,2.0897177369098343,35.130442767802435
12,data/3d_09-05-2019,8,64,303977710817088,11857051.433048893,296752969687808,7620782.918761427,2.376733843366342,35.72784126144389
13,data/3d_09-05-2019,8,128,607647548078336,22943551.698188867,592308503694848,15043983.360737665,2.524332473980548,34.430451053813016
14,data/3d_09-05-2019,8,256,1212627541465344,45304812.47351934,1186939588670720,30044091.362844434,2.118371215912066,33.684547573383725
15,data/3d_09-05-2019,8,512,2502258914032128,94268204.42864381,2450107522623488,61294470.338370174,2.0841724697706643,34.97863812101466
16,data/3d_09-05-2019,9,64,332702445625280,13093302.035364503,323600192440960,8316775.268655208,2.7358540052848883,36.48068878124159
17,data/3d_09-05-2019,9,128,649715951602048,24845920.349843007,634549682320256,16092551.546087721,2.334292277170588,35.23060800527196
18,data/3d_09-05-2019,9,256,1307674372216320,50344890.40713771,1275142576349952,32102188.657290388,2.487759686781296,36.23545826064791
19,data/3d_09-05-2019,9,512,2700990278828544,102254982.77516794,2627859200212480,66141480.10549145,2.7075654136667953,35.31710796830377
20,data/3d_09-05-2019,10,64,357464039249472,13710261.850441867,348895501698880,8972737.234244905,2.397034837009736,34.55458887566233
21,data/3d_09-05-2019,10,128,728948197992960,27834071.087406144,710758430199808,18061441.071452867,2.4953443664768717,35.11031492757457
22,data/3d_09-05-2019,10,256,1512727541739776,58706790.55656551,1474230760718592,37164909.94321439,2.5448588697545067,36.69401854389393
23,data/3d_09-05-2019,10,512,2885619010722304,110154116.60761413,2810876004926976,70171750.16453494,2.590189679150296,36.29675192757663
24,data/1w_03-05-2019,5,64,401552711650944,17182946.98345776,391825732703872,10011586.173446188,2.4223417411578407,41.73533688322225
25,data/1w_03-05-2019,5,128,790782058189312,34270738.76164486,770209339967104,19412980.424551487,2.6015661343296337,43.354064936942315
26,data/1w_03-05-2019,5,256,1603182705890048,68176521.17623499,1563385463474688,39311243.30613241,2.482389703253787,42.339030170645394
27,data/1w_03-05-2019,5,512,3084847486121472,133610422.35964967,2987658776628224,75310334.90272917,3.150519107686642,43.634386021166506
28,data/1w_03-05-2019,6,64,464949300018432,19996866.386583712,447914684570240,11384049.526395798,3.6637576285235176,43.070832667894514
29,data/1w_03-05-2019,6,128,934911660980736,39828285.63597254,908301930871936,22988781.59118183,2.8462293518604747,42.28026332517165
30,data/1w_03-05-2019,6,256,1915611128666880,80863143.58125624,1857072917399808,46259865.02456207,3.0558504485098785,42.79239839584356
31,data/1w_03-05-2019,6,512,3750795917238272,161000039.4053603,3639142748756480,90214157.16525468,2.9767860194324496,43.966375723600535
32,data/1w_03-05-2019,7,64,540386200396096,23341039.871593144,523607176289536,13332432.08758534,3.1050060298100126,42.879870987190365
33,data/1w_03-05-2019,7,128,1064869760493312,45295522.03880066,1031745927593984,25965261.250717215,3.110599448704698,42.67587593211736
34,data/1w_03-05-2019,7,256,2126449426860544,91968245.66400193,2058332988809728,51494365.92066645,3.203294524214574,44.00853735016683
35,data/1w_03-05-2019,7,512,4263763591019520,180956181.43228382,4112002197562880,103057791.82306275,3.5593294566397833,43.04820592070886
36,data/1w_03-05-2019,8,64,602004997364992,26056286.597871218,580164826375232,14761029.77386787,3.627905264134948,43.349449590895134
37,data/1w_03-05-2019,8,128,1209670538376192,51332946.112338014,1167694067425664,29525637.641409386,3.470074670651676,42.48209020227495
38,data/1w_03-05-2019,8,256,2371683623422208,101441475.44205198,2283254573814528,57744924.03517906,3.7285348152837425,43.07562682468512
39,data/1w_03-05-2019,8,512,4727936735746048,202289150.6983868,4555878361265664,113967499.307036,3.6391852111623892,43.66109160398741
40,data/1w_03-05-2019,9,64,663800704216704,28742165.31771762,642664833958400,16301582.229709325,3.1840686706177395,43.283388535586454
41,data/1w_03-05-2019,9,128,1330613506748544,57126162.13259919,1283727974619648,32268312.19476684,3.5236026006878878,43.51395054359367
42,data/1w_03-05-2019,9,256,2629614393888256,111908423.48518121,2539756970434816,63647793.306182235,3.417133084694335,43.12510951008937
43,data/1w_03-05-2019,9,512,5269377326644224,223377730.47684374,5077950368495104,126470292.03940052,3.632819331065617,43.3827661470887
44,data/1w_03-05-2019,10,64,729026951052480,31478160.926282622,701316624242688,17747393.29712543,3.8010017009367374,43.61998040899752
45,data/1w_03-05-2019,10,128,1461553834388992,61251225.10221079,1406750214126720,35508620.9304039,3.7496819462132818,42.02790087683935
46,data/1w_03-05-2019,10,256,2935441128850176,124533338.96116385,2825886693843968,70545603.33931085,3.7321285012151106,43.35203413978103
47,data/1w_03-05-2019,10,512,5723921530631168,242540766.60093012,5502668703359488,137247071.77923903,3.8654063667305865,43.41278222928125
